,30-3,10-3,30-5,10-5,30-7,10-7
PGR,0.04086936741075444,0.008747525411364697,0.045443885079983315,0.012376800646271391,0.05071747985150736,0.015758300907156138
KLAC,0.04072541005774471,0.018728079814658325,0.04483318689211316,0.019270631770443778,0.048873960893302516,0.015664989281610992
ZBRA,0.03951053947234436,0.011965365861737631,0.027415290807117205,0.007111697876798671,0.023869995546965637,0.009489245261380728
HCA,0.03910811175943931,0.0035719752995377416,0.044263004278465974,0.001709209948070666,0.04736411787176728,0.0007974190131566072
ADBE,0.03890894349481816,0.009668236561045608,0.03433167232904782,0.004648144184283845,0.029377014186398646,0.004524256252561644
EL,0.03890682038633164,0.019204400353978208,0.04452687534930665,0.02307144731166936,0.052538454717536105,0.035425565363375516
VRTX,0.03860592034437434,0.0048084219924736955,0.040376420362823656,0.009611251075003529,0.04140378387585424,0.02538728497886204
TTWO,0.03815128777118226,0.01326515188407031,0.04265035018027353,0.014054030095040818,0.06345239451638773,0.024277146433427696
RL,0.03812484878574908,0.015050661159949791,0.04963849370917236,0.024402299896039526,0.05710019430796078,0.030220967698711472
CF,0.03795473618635116,0.002778935204185852,0.04451889490747783,0.010357688891145076,0.04185301326145774,0.027873669816768896
RMD,0.036882557721794614,0.003319626728166182,0.03410606060018024,-0.0009332796111673478,0.031888159078860306,0.0062311254930358774
MKTX,0.03670088258376987,0.0031009244937347034,0.03379302879423201,0.0006044395768983065,0.029897478562559008,0.0018499546759231447
SHW,0.036642617505685336,0.005955062369080116,0.03805613298021299,0.005305656830922809,0.03761113559171075,0.00041707302562509765
MCO,0.03663144940504805,0.008716694326576305,0.03394916431770417,0.00797468267690023,0.02881378184587214,0.00025584649919465664
STX,0.03620056790963644,0.006924589142356714,0.04164245308603908,0.016945704263557446,0.041872704658247814,0.0278281445656587
AAPL,0.03610833547027296,0.011847934420905691,0.03634290085739133,0.009821362157476662,0.03446861251492985,0.009729984328210267
FLT,0.03580690828219589,0.004519687111679394,0.03478272578448143,0.012645443051771808,0.03569916721675044,0.017809952564662647
LHX,0.03552074661368317,0.012597429415959802,0.03647194616246829,0.00925425730330222,0.033800242097390104,0.009480491625902159
STE,0.035283746682574765,0.00834768153727538,0.0346562984890342,0.010819288491785931,0.03465963138313102,0.019458818854850037
CTAS,0.034829038813137266,0.008707195601102854,0.036241246619971135,0.002417267774949815,0.041159895357431746,-0.005038143216352744
CRM,0.03473744944965455,0.0014927326364848467,0.045603420427000635,0.0031955130425216347,0.05828570560062836,0.012944422917483184
INTC,0.03462406643222509,0.006885961118727384,0.035524709064361136,0.0037590090902622315,0.04058975992979981,-0.009006419794121643
MSI,0.034477535424185156,0.006213533821628713,0.03654186230405554,0.0015723577707841094,0.04124431130607078,-0.004137555207950574
TXN,0.03426485537370939,0.012605292722588108,0.04237283121102038,0.012380307285977249,0.05061023621758802,0.020878049507628067
AZO,0.034080095169078714,0.00036603835974283015,0.03922077965582744,-3.671043640827046e-05,0.04461961211378544,0.012116768438923693
ADSK,0.03401016525401853,0.005989534032152988,0.03290838256986474,0.004388869823610786,0.02884825376570629,0.006677113793622044
TJX,0.03395866849630481,-0.0005316687305209494,0.03855494199851847,-0.010837391914707034,0.041470187455997745,-0.016278230046413933
VRSN,0.03378042897401633,0.010588319338568962,0.03499680730669148,0.013494816433390004,0.03168526760990188,0.03162686453809811
GPN,0.033714658066165984,0.010831267958821281,0.03474281966717703,0.01508877215623934,0.029963325039290643,0.021572976128619095
MKC,0.03305124330193548,0.006925012331873997,0.0348396750512141,0.008405165960028878,0.040455220078074394,0.005266582047938791
ANTM,0.03281375188098166,0.008301380798626109,0.031033556381502698,0.007363273902061009,0.025055716923181218,0.012208073152194514
IDXX,0.032772930559393974,0.004493789009731746,0.032840461166298636,0.001960964689279285,0.036799956126852704,0.002547267764804578
AES,0.03255605559081838,0.01065753571220233,0.039982945908170364,0.013691768962128214,0.04780836794752947,0.019286786458322047
TGT,0.03249042085058775,0.016801934490095077,0.02893432837372096,0.022646204419943593,0.025745171180485735,0.03489494545492841
FAST,0.03237632391932258,0.0032524443224201294,0.0383625927748871,0.0015809223869769832,0.040158333936039285,0.007063612438686098
QCOM,0.03235584765145248,0.0063679185796530514,0.02987859475203738,0.005652455755984065,0.030138709276634222,0.004564682276419778
BLL,0.03233905912228135,0.009155855568139134,0.033927176333216146,0.007487730700809599,0.03596241119826925,-0.013778656860971343
KSU,0.03231712228611491,0.00953490241953485,0.03289692544779852,0.006460981528718681,0.0323979163754749,0.001673548181165823
ACN,0.03225546171965307,0.004579387890841016,0.035883861300072074,0.0016431377000892106,0.035265893474846384,-0.0048693407439734495
