,30-3,10-3,30-5,10-5,30-7,10-7
HUM,0.7028301886792453,0.5412371134020618,0.7342657342657343,0.5444444444444444,0.7978723404255319,0.6551724137931034
TMO,0.7017543859649122,0.5449101796407185,0.6794871794871795,0.5333333333333333,0.6504854368932039,0.5384615384615384
LDOS,0.7008547008547008,0.5986394557823129,0.7116564417177914,0.5932203389830508,0.7168141592920354,0.47058823529411764
AME,0.69921875,0.558282208588957,0.6994818652849741,0.5625,0.7054794520547946,0.6521739130434783
NDAQ,0.6991150442477876,0.6939890710382514,0.6687898089171974,0.7472527472527473,0.6330275229357798,0.8181818181818182
FMC,0.6991150442477876,0.56,0.6987951807228916,0.5076923076923077,0.6916666666666667,0.4
LYV,0.698744769874477,0.6265822784810127,0.7235294117647059,0.640625,0.7394957983193278,0.4375
CDNS,0.6982758620689655,0.6271186440677966,0.6904761904761905,0.5694444444444444,0.6859504132231405,0.6
ES,0.6974789915966386,0.6688741721854304,0.6954022988505747,0.6833333333333333,0.7099236641221374,0.75
JNJ,0.6972477064220184,0.5795454545454546,0.7581699346405228,0.631578947368421,0.7663551401869159,0.5416666666666666
NKE,0.6972477064220184,0.6073298429319371,0.7152317880794702,0.7021276595744681,0.7358490566037735,0.7777777777777778
TXN,0.6946902654867256,0.6510067114093959,0.7393939393939394,0.7241379310344828,0.7647058823529411,0.8125
HIG,0.6944444444444444,0.6057142857142858,0.7222222222222222,0.6027397260273972,0.7428571428571429,0.6
XYL,0.6944444444444444,0.5818181818181818,0.6590909090909091,0.631578947368421,0.56,0.4
CINF,0.6942148760330579,0.5764705882352941,0.7471264367816092,0.6515151515151515,0.7615384615384615,0.8
C,0.6938775510204082,0.4294478527607362,0.7272727272727273,0.4307692307692308,0.7571428571428571,0.3333333333333333
HON,0.6937984496124031,0.5416666666666666,0.678391959798995,0.4186046511627907,0.6602564102564102,0.375
DHI,0.6927083333333334,0.6130952380952381,0.6935483870967742,0.618421052631579,0.7045454545454546,0.6538461538461539
AMD,0.691358024691358,0.643979057591623,0.7307692307692307,0.6288659793814433,0.7669172932330827,0.5555555555555556
EQR,0.6908212560386473,0.5493827160493827,0.6993006993006993,0.5,0.7127659574468085,0.5333333333333333
CE,0.6898148148148148,0.5502958579881657,0.7534246575342466,0.5303030303030303,0.7821782178217822,0.6
CAT,0.6891385767790262,0.5384615384615384,0.6782178217821783,0.5205479452054794,0.6666666666666666,0.5357142857142857
ANSS,0.6885245901639344,0.6683937823834197,0.6830601092896175,0.6808510638297872,0.6444444444444445,0.7105263157894737
LIN,0.6872037914691943,0.6,0.7185185185185186,0.5573770491803278,0.6746987951807228,0.6363636363636364
UNH,0.6853448275862069,0.5876288659793815,0.673202614379085,0.5697674418604651,0.6831683168316832,0.6296296296296297
FLT,0.6853146853146853,0.603448275862069,0.6907216494845361,0.64,0.7424242424242424,0.6666666666666666
ROK,0.6850393700787402,0.5348837209302325,0.6492146596858639,0.5522388059701493,0.6319444444444444,0.65
AMT,0.6833333333333333,0.6179775280898876,0.7176470588235294,0.6447368421052632,0.7338709677419355,0.8695652173913043
AON,0.6831275720164609,0.5694444444444444,0.6777777777777778,0.48148148148148145,0.6842105263157895,0.47368421052631576
ODFL,0.6830357142857143,0.6069364161849711,0.6666666666666666,0.6351351351351351,0.6216216216216216,0.7727272727272727
MSI,0.6820276497695853,0.6127167630057804,0.6802721088435374,0.5588235294117647,0.696078431372549,0.47058823529411764
RHI,0.6814159292035398,0.4875,0.7151515151515152,0.48484848484848486,0.7265625,0.38095238095238093
BAX,0.680161943319838,0.6646341463414634,0.653179190751445,0.7014925373134329,0.6504065040650406,0.6666666666666666
FE,0.6793478260869565,0.6056338028169014,0.6147540983606558,0.5689655172413793,0.5662650602409639,0.5625
HD,0.6778242677824268,0.5620915032679739,0.655367231638418,0.5370370370370371,0.6511627906976745,0.5384615384615384
IR,0.6772727272727272,0.5847953216374269,0.7088607594936709,0.6338028169014085,0.75,0.8333333333333334
CI,0.6771300448430493,0.5759493670886076,0.6834532374100719,0.5961538461538461,0.6703296703296703,0.6428571428571429
XEL,0.676595744680851,0.7028571428571428,0.6602564102564102,0.6891891891891891,0.65,0.7
BDX,0.6764705882352942,0.5443037974683544,0.7181208053691275,0.46153846153846156,0.7345132743362832,0.45454545454545453
KO,0.676056338028169,0.6602564102564102,0.6530612244897959,0.7377049180327869,0.6363636363636364,0.8095238095238095
WMT,0.6758893280632411,0.5949367088607594,0.7016574585635359,0.5263157894736842,0.7404580152671756,0.2
MAA,0.6754385964912281,0.6045197740112994,0.6932515337423313,0.5797101449275363,0.7130434782608696,0.75
AAPL,0.6754385964912281,0.7016574585635359,0.7073170731707317,0.7529411764705882,0.717741935483871,0.775
AVY,0.6735537190082644,0.6309523809523809,0.6982248520710059,0.6875,0.6991869918699187,0.65
IPG,0.6735537190082644,0.5168539325842697,0.6961325966850829,0.5569620253164557,0.7222222222222222,0.5652173913043478
PNW,0.672566371681416,0.6217948717948718,0.6870748299319728,0.65,0.7083333333333334,0.875
AMGN,0.6724890829694323,0.5517241379310345,0.7005988023952096,0.5432098765432098,0.72,0.5652173913043478
PH,0.672,0.4968553459119497,0.6612903225806451,0.4032258064516129,0.6549295774647887,0.3684210526315789
AFL,0.6714285714285714,0.5301204819277109,0.6388888888888888,0.4411764705882353,0.6057692307692307,0.3333333333333333
NVDA,0.6710526315789473,0.6292134831460674,0.6878980891719745,0.6410256410256411,0.6728971962616822,0.7391304347826086
FISV,0.6701030927835051,0.6190476190476191,0.6590909090909091,0.6086956521739131,0.6421052631578947,0.5454545454545454
L,0.6696035242290749,0.5112359550561798,0.6530612244897959,0.45714285714285713,0.6428571428571429,0.5333333333333333
AZO,0.668,0.4444444444444444,0.6963350785340314,0.4166666666666667,0.7241379310344828,0.5
SYY,0.6666666666666666,0.5287356321839081,0.6555555555555556,0.4507042253521127,0.6484375,0.3333333333333333
KSU,0.6666666666666666,0.5592105263157895,0.6602564102564102,0.5161290322580645,0.6238532110091743,0.47368421052631576
RL,0.6666666666666666,0.6353591160220995,0.694300518134715,0.6896551724137931,0.7379310344827587,0.7575757575757576
BLL,0.6666666666666666,0.6282051282051282,0.7108433734939759,0.5616438356164384,0.7457627118644068,0.37037037037037035
TFX,0.6653846153846154,0.5654761904761905,0.6282722513089005,0.5972222222222222,0.5869565217391305,0.7083333333333334
XRX,0.6653846153846154,0.4779874213836478,0.696078431372549,0.3283582089552239,0.7088607594936709,0.4117647058823529
PPG,0.6652173913043479,0.5535714285714286,0.6829268292682927,0.5285714285714286,0.7280701754385965,0.55
IDXX,0.6651982378854625,0.5759493670886076,0.6787878787878788,0.5666666666666667,0.7192982456140351,0.6363636363636364
ED,0.6650717703349283,0.6309523809523809,0.7142857142857143,0.625,0.7640449438202247,0.7
ORLY,0.6640926640926641,0.5304878048780488,0.6476683937823834,0.45161290322580644,0.6413793103448275,0.4117647058823529
ROP,0.6636363636363637,0.6707317073170732,0.68,0.7183098591549296,0.693069306930693,0.8695652173913043
INTC,0.6636363636363637,0.5875706214689266,0.6776315789473685,0.5405405405405406,0.6869565217391305,0.4
LHX,0.6635071090047393,0.632183908045977,0.6621621621621622,0.5774647887323944,0.6759259259259259,0.5652173913043478
